tid,chembl_id
11360,CHEMBL3977
11361,CHEMBL4004
11362,CHEMBL4005
11364,CHEMBL4045
11365,CHEMBL289
11367,CHEMBL2141
11368,CHEMBL2142
11377,CHEMBL2687
11379,CHEMBL2689
11382,CHEMBL2688
11383,CHEMBL4783
11384,CHEMBL5063
11385,CHEMBL2709
11387,CHEMBL3618
11390,CHEMBL4176
11391,CHEMBL4784
11392,CHEMBL4785
11395,CHEMBL290
11396,CHEMBL291
11398,CHEMBL4302
11399,CHEMBL1873
11400,CHEMBL2842
11401,CHEMBL2710
11402,CHEMBL2611
11403,CHEMBL4177
11405,CHEMBL4178
11406,CHEMBL3997
11407,CHEMBL4179
11408,CHEMBL2637
11409,CHEMBL3587
11410,CHEMBL2638
11413,CHEMBL3900
11414,CHEMBL3918
11415,CHEMBL3975
11416,CHEMBL3902
11418,CHEMBL3957
11530,CHEMBL5098
11421,CHEMBL4788
11422,CHEMBL2640
11423,CHEMBL3670
11426,CHEMBL3998
11427,CHEMBL3427
11429,CHEMBL3441
